model,Global,Polar N,Mid-lat N,Tropics,Mid-lat S,Polar S,Northern (≥0°),Southern (<0°),Western (lon<0),Eastern (lon≥0),ECE
Qwen_Qwen2.5-3B-Instruct,0.2873,0.5776,0.2360,0.2065,0.1206,0.5543,0.3182,0.2551,0.2509,0.3238,0.2585
Qwen_Qwen2.5-3B-Instruct_groundtruth3,0.2183,0.1995,0.3379,0.1932,0.0679,0.3693,0.2669,0.1675,0.1158,0.3208,0.1841
Qwen_Qwen2.5-7B-Instruct_groundtruth3,0.1090,0.0965,0.1146,0.1305,0.0567,0.1797,0.1070,0.1110,0.0872,0.1308,0.1102
Qwen_Qwen2.5-32B-Instruct-AWQ_groundtruth3,0.0507,0.0757,0.0678,0.0595,0.0247,0.0295,0.0672,0.0335,0.0472,0.0543,0.0500
